ms,diff
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1217,2
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,2
1225,1
1226,1
1227,2
1228,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,2
1238,1
1239,1
1240,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,2
1248,1
1249,1
1250,1
1251,1
1252,1
1252,1
1253,1
1254,2
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,1
1263,1
1263,1
1264,1
1265,1
1266,1
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,1
1274,1
1275,1
1276,1
1277,1
1278,1
1280,1
1281,1
1282,2
1283,1
1284,2
1285,1
1286,1
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1298,1
1299,2
1300,1
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,1
1308,2
1309,1
1309,1
1310,1
1311,1
1312,1
1313,1
1314,1
1315,1
1316,1
1317,1
1318,1
1319,1
1320,1
1320,1
1321,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,2
1341,1
1342,2
1343,1
1343,1
1344,1
1345,2
1346,1
1347,1
1348,1
1349,1
1350,1
1351,2
1352,1
1353,1
1354,1
1355,1
1355,1
1356,1
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1363,1
1364,1
1366,1
1367,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1388,2
1389,1
1390,1
1390,1
1391,1
1392,2
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,1
1400,1
1401,1
1401,2
1402,1
1403,1
1404,1
1405,1
1406,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,2
1414,1
1414,1
1415,1
1416,2
1417,1
1418,1
1419,2
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1425,1
1426,1
1427,1
1428,1
1429,2
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,2
1448,1
1449,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,1
1459,2
1460,1
1460,1
1461,1
1462,2
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,2
1480,1
1481,1
1482,1
1483,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,2
1491,1
1492,1
1494,1
1495,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,2
1504,1
1505,1
1506,2
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,2
1515,2
1516,1
1517,2
1517,1
1518,1
1519,1
1520,2
1521,1
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,1
1534,2
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1541,1
1542,1
1543,2
1544,1
1545,1
1546,1
1547,1
1548,1
1549,2
1550,1
1551,1
1552,1
1552,1
1553,1
1554,1
1555,1
1556,1
1557,1
1558,1
1559,2
1560,1
1561,1
1562,1
1563,2
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,2
1572,1
1573,1
1574,1
1575,1
1575,1
1576,1
1577,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,2
1586,1
1587,1
1587,1
1588,1
1589,1
1590,1
1591,1
1592,1
1593,1
1594,2
1595,2
1596,1
1597,1
1598,2
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,2
1605,1
1606,1
1607,1
1608,2
1609,1
1610,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,1
1622,2
1622,1
1623,2
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,2
1644,1
1645,1
1646,1
1647,1
1648,1
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1656,1
1657,1
1658,1
1659,1
1660,1
1661,1
1662,1
1664,1
1665,1
1666,1
1667,1
1668,2
1668,1
1669,1
1670,1
1671,1
1672,1
1673,1
1674,1
1675,1
1676,1
1677,2
1678,2
1679,1
1679,1
1680,2
1681,1
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,1
1690,2
1690,1
1691,1
1692,1
1693,1
1694,1
1695,1
1696,2
1697,1
1698,1
1699,2
1700,2
1701,1
1701,2
1702,1
1703,1
1704,1
1705,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1714,1
1715,1
1716,1
1717,2
1718,1
1719,1
1720,1
1721,1
1722,1
1723,1
1724,1
1725,1
1725,1
1726,1
1727,1
1728,1
1729,1
1730,1
1731,2
1732,1
1733,1
1734,1
1735,2
1736,1
1737,1
1737,2
1738,1
1739,1
1740,1
1741,1
1742,1
1743,1
1744,1
1745,1
1746,1
1747,1
1748,1
1748,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,2
1758,1
1759,1
1760,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,2
1771,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,1
1782,2
1782,1
1783,1
1784,1
1785,1
1786,2
1787,1
1788,1
1789,1
1790,1
1792,1
1793,2
1794,1
1795,1
1795,1
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,2
1806,1
1806,1
1807,1
1808,1
1809,2
1810,1
1811,1
1812,2
1813,1
1814,1
1815,1
1816,1
1817,2
1818,1
1818,1
1819,2
1820,1
1821,1
1822,1
1823,1
1824,1
1825,2
1826,1
1827,1
1828,1
1829,1
1829,1
1830,1
1831,2
1832,1
1833,1
1835,2
1836,1
1837,2
1838,1
1839,1
1840,2
1841,2
1841,1
1842,1
1843,1
1844,1
1845,1
1846,2
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1852,1
1853,1
1854,1
1855,1
1856,1
1857,1
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1864,1
1865,1
1866,2
1867,1
1868,1
1869,1
1870,1
1871,1
1872,2
1873,1
1874,1
1875,1
1875,1
1876,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,1
1884,1
1885,1
1886,1
1887,1
1887,1
1888,1
1889,1
1890,1
1891,1
1892,1
1893,2
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,2
1905,1
1906,1
1907,1
1908,1
1909,1
1910,2
1910,1
1911,1
1912,1
1913,2
1914,1
1915,1
1916,2
1917,1
1918,1
1920,1
1921,2
1922,1
1923,1
1923,1
1924,1
1925,2
1926,1
1927,1
1928,1
1929,1
1930,1
1931,1
1932,1
1933,1
1934,2
1934,1
1935,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
1944,1
1945,1
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1963,2
1964,2
1965,2
1966,1
1967,1
1968,1
1968,1
1969,2
1970,1
1971,1
1972,1
1973,1
1974,2
1975,1
1976,1
1977,1
1978,1
1979,2
1980,1
1980,2
1981,1
1982,2
1983,1
1984,1
1985,0
1986,1
1987,2
1988,2
1989,1
1990,2
1991,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,2
1997,1
1998,1
1999,1
2000,1
2001,2
2002,1
2003,1
2003,1
2004,2
2006,1
2007,1
2008,1
2009,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,1
2023,1
2024,2
2025,1
2026,1
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,2
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,2
2045,1
2046,2
2048,1
2049,1
2050,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,2
2057,1
2058,1
2059,1
2060,1
2061,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,1
2068,1
2069,1
2070,1
2071,1
2072,1
2072,1
2073,1
2074,1
2075,2
2076,1
2077,1
2078,1
2079,1
2080,1
2081,1
2082,1
2083,1
2084,2
2084,1
2085,1
2086,1
2087,1
2088,1
2089,1
2091,1
2092,1
2093,1
2094,2
2095,1
2096,1
2096,1
2097,1
2098,2
2099,1
2100,1
2101,2
2102,2
2103,1
2104,1
2105,1
2106,1
2107,1
2107,2
2108,1
2109,2
2110,2
2111,1
2112,1
2113,1
2114,1
2115,2
2116,1
2117,1
2118,1
2119,1
2119,2
2120,1
2121,1
2122,1
2123,1
2124,1
2125,1
2126,1
2127,1
2128,1
2129,1
2130,2
2130,1
2131,1
2132,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,2
2151,2
2152,1
2153,2
2154,1
2154,1
2155,1
2156,1
2157,2
2158,1
2159,1
2160,1
2161,1
2162,1
2163,1
2164,2
2165,1
2165,2
2166,1
2167,1
2168,1
2169,2
2170,2
2171,1
2172,1
2173,1
2174,2
2176,1
2177,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,1
2183,2
2184,2
2185,1
2186,1
2187,1
2188,1
2189,1
2189,1
2190,1
2191,1
2192,2
2193,2
2194,1
2195,1
2196,2
2197,2
2198,1
2199,2
2200,1
2200,1
2201,1
2202,1
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,2
2219,1
2220,1
2221,1
2222,1
2223,1
2224,2
2224,1
2225,2
2226,1
2227,1
2228,1
2229,1
2230,2
2231,1
2232,1
2233,1
2234,2
2235,1
2235,1
2236,1
2237,2
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,2
2247,2
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2258,1
2259,1
2260,1
2262,1
2263,1
2264,1
2265,1
2266,1
